id,title,link,summary,category,abstract,pdf
oai:arXiv.org:2408.07126v1,Improving Radial Velocities by Marginalizing over Stars and Sky: Achieving 30 m/s RV Precision for APOGEE in the Plate Era,https://arxiv.org/abs/2408.07126,"arXiv:2408.07126v1 Announce Type: new 
Abstract: The radial velocity catalog from the Apache Point Observatory Galactic Evolution Experiment (APOGEE) is unique in its simultaneously large volume and high precision as a result of its decade-long survey duration, multiplexing (600 fibers), and spectral resolution of $R \sim 22,500$. However, previous data reductions of APOGEE have not fully realized the potential radial velocity (RV) precision of the instrument. Here we present an RV catalog based on a new reduction of all 2.6 million visits of APOGEE DR17 and validate it against improved estimates for the theoretical RV performance. The core ideas of the new reduction are the simultaneous modeling of all components in the spectra, rather than a separate subtraction of point estimates for the sky, and a marginalization over stellar types, rather than a grid search for an optimum. We show that this catalog, when restricted to RVs measured with the same fiber, achieves noise-limited precision down to 30 m/s and delivers well-calibrated uncertainties. We also introduce a general method for calibrating fiber-to-fiber constant RV offsets and demonstrate its importance for high RV precision work in multi-fiber spectrographs. After calibration, we achieve 47 m/s RV precision on the combined catalog with RVs measured with different fibers. This degradation in precision relative to measurements with only a single fiber suggests that refining line spread function models should be a focus in SDSS-V to improve the fiber-unified RV catalog.",astro-ph.IM,"The radial velocity catalog from the Apache Point Observatory Galactic Evolution Experiment (APOGEE) is unique in its simultaneously large volume and high precision as a result of its decade-long survey duration, multiplexing (600 fibers), and spectral resolution of $R \sim 22,500$. However, previous data reductions of APOGEE have not fully realized the potential radial velocity (RV) precision of the instrument. Here we present an RV catalog based on a new reduction of all 2.6 million visits of APOGEE DR17 and validate it against improved estimates for the theoretical RV performance. The core ideas of the new reduction are the simultaneous modeling of all components in the spectra, rather than a separate subtraction of point estimates for the sky, and a marginalization over stellar types, rather than a grid search for an optimum. We show that this catalog, when restricted to RVs measured with the same fiber, achieves noise-limited precision down to 30 m/s and delivers well-calibrated uncertainties. We also introduce a general method for calibrating fiber-to-fiber constant RV offsets and demonstrate its importance for high RV precision work in multi-fiber spectrographs. After calibration, we achieve 47 m/s RV precision on the combined catalog with RVs measured with different fibers. This degradation in precision relative to measurements with only a single fiber suggests that refining line spread function models should be a focus in SDSS-V to improve the fiber-unified RV catalog.",https://arxiv.org/pdf/2408.07126
oai:arXiv.org:2408.07242v1,Ultraviolet Technology To Prepare For The Habitable Worlds Observatory,https://arxiv.org/abs/2408.07242,"arXiv:2408.07242v1 Announce Type: new 
Abstract: We present here the current state of a collection of promising ultraviolet technologies in preparation for the Habitable Worlds Observatory. Working with experts representing a significant number of groups working in the ultraviolet, we summarize some of the leading science drivers, present an argument for a 100 angstrom blue wavelength cutoff, and gather current state of the art of UV technologies. We present the state of the art of contamination control, a crucial piece of the UV instrument plan. We explore next steps with individual technologies, as well as present paths forward with systems level testing and development.",astro-ph.IM,"We present here the current state of a collection of promising ultraviolet technologies in preparation for the Habitable Worlds Observatory. Working with experts representing a significant number of groups working in the ultraviolet, we summarize some of the leading science drivers, present an argument for a 100 angstrom blue wavelength cutoff, and gather current state of the art of UV technologies. We present the state of the art of contamination control, a crucial piece of the UV instrument plan. We explore next steps with individual technologies, as well as present paths forward with systems level testing and development.",https://arxiv.org/pdf/2408.07242
oai:arXiv.org:2408.07134v1,Frequency Shift in Binary Lensing System,https://arxiv.org/abs/2408.07134,"arXiv:2408.07134v1 Announce Type: cross 
Abstract: Gravitational microlensing with binary lensing is one of the channels for detecting exoplanets. Due to the degeneracy of the lens parameters for the binary microlensing, additional features such as parallax and finite-size effects need to identify the lens parameters. The frequency-shift effect as the relativistic analogy of the gravity assist for the photons, is an extra observation that provides additional constraint between the lens parameters . In this work, we extend the application of the frequency shift effect to binary microlensing and derive the frequency shift during the lensing and caustic crossing. The frequency shift for the binary lens is of the order of ${\Delta\nu}/{\nu}\sim 10^{-12}$. We also investigate the feasibility of detecting this effect by employing Cross-Correlation methods .",astro-ph.EP,"Gravitational microlensing with binary lensing is one of the channels for detecting exoplanets. Due to the degeneracy of the lens parameters for the binary microlensing, additional features such as parallax and finite-size effects need to identify the lens parameters. The frequency-shift effect as the relativistic analogy of the gravity assist for the photons, is an extra observation that provides additional constraint between the lens parameters . In this work, we extend the application of the frequency shift effect to binary microlensing and derive the frequency shift during the lensing and caustic crossing. The frequency shift for the binary lens is of the order of ${\Delta\nu}/{\nu}\sim 10^{-12}$. We also investigate the feasibility of detecting this effect by employing Cross-Correlation methods .",https://arxiv.org/pdf/2408.07134
oai:arXiv.org:2408.07474v1,Debiasing astro-Photometric Observations with Corrections Using Statistics (DePhOCUS),https://arxiv.org/abs/2408.07474,"arXiv:2408.07474v1 Announce Type: cross 
Abstract: Photometric measurements allow the determination of an asteroid's absolute magnitude, which often represents the sole means to infer its size. Photometric observations can be obtained in a variety of filters that can be unique to a specific observatory. Those observations are then calibrated into specific bands with respect to reference star catalogs. In order to combine all the different measurements for evaluation, photometric observations need to be converted to a common band, typically V-band. Current band-correction schemes in use by IAU's Minor Planet Center, JPL's Center for Near Earth Object Studies and ESA's NEO Coordination Centre use average correction values for the apparent magnitude derived from photometry of asteroids as the corrections are dependent on the typically unknown spectrum of the object to be corrected. By statistically analyzing the photometric residuals of asteroids, we develop a new photometric correction scheme that does not only consider the band, but also accounts for reference catalog and observatory. We describe a new statistical photometry correction scheme for asteroid observations with debiased corrections. Testing this scheme on a reference group of asteroids, we see a 36% reduction in the photometric residuals. Moreover, the new scheme leads to a more accurate and debiased determination of the H-G magnitude system and, in turn, to more reliable inferred sizes. We discuss the significant shift in the corrections with this ""DePhOCUS"" debiasing system, its limitations, and the impact for photometric and physical properties of all asteroids, especially Near-Earth Objects.",astro-ph.EP,"Photometric measurements allow the determination of an asteroid's absolute magnitude, which often represents the sole means to infer its size. Photometric observations can be obtained in a variety of filters that can be unique to a specific observatory. Those observations are then calibrated into specific bands with respect to reference star catalogs. In order to combine all the different measurements for evaluation, photometric observations need to be converted to a common band, typically V-band. Current band-correction schemes in use by IAU's Minor Planet Center, JPL's Center for Near Earth Object Studies and ESA's NEO Coordination Centre use average correction values for the apparent magnitude derived from photometry of asteroids as the corrections are dependent on the typically unknown spectrum of the object to be corrected. By statistically analyzing the photometric residuals of asteroids, we develop a new photometric correction scheme that does not only consider the band, but also accounts for reference catalog and observatory. We describe a new statistical photometry correction scheme for asteroid observations with debiased corrections. Testing this scheme on a reference group of asteroids, we see a 36% reduction in the photometric residuals. Moreover, the new scheme leads to a more accurate and debiased determination of the H-G magnitude system and, in turn, to more reliable inferred sizes. We discuss the significant shift in the corrections with this ""DePhOCUS"" debiasing system, its limitations, and the impact for photometric and physical properties of all asteroids, especially Near-Earth Objects.",https://arxiv.org/pdf/2408.07474
oai:arXiv.org:2408.06947v2,Kilonova Light Curve Parameter Estimation Using Likelihood-Free Inference,https://arxiv.org/abs/2408.06947,"arXiv:2408.06947v2 Announce Type: replace 
Abstract: We present a parameter estimation algorithm on kilonova light curves using likelihood-free inference. Our inference is optimized through a pre-trained embedding network that marginalizes the time of arrival and the luminosity distance of the signal. We find that parameter inference utilizing a pre-trained embedding outperforms the use of likelihood-free inference alone, reducing training time and offering the capability to marginalize over certain nuisance parameters. The model is capable of retrieving the intrinsic parameters of the kilonova light curves with a comparable accuracy and precision to nested sampling methods while taking significantly less computational time. This framework has been integrated into the publicly available Nuclear Multi-Messenger Astronomy codebase so users can leverage the model for their inference purposes. This algorithm is broadly applicable to parameterized or simulated light curves of other transient objects.",astro-ph.IM,"We present a parameter estimation algorithm on kilonova light curves using likelihood-free inference. Our inference is optimized through a pre-trained embedding network that marginalizes the time of arrival and the luminosity distance of the signal. We find that parameter inference utilizing a pre-trained embedding outperforms the use of likelihood-free inference alone, reducing training time and offering the capability to marginalize over certain nuisance parameters. The model is capable of retrieving the intrinsic parameters of the kilonova light curves with a comparable accuracy and precision to nested sampling methods while taking significantly less computational time. This framework has been integrated into the publicly available Nuclear Multi-Messenger Astronomy codebase so users can leverage the model for their inference purposes. This algorithm is broadly applicable to parameterized or simulated light curves of other transient objects.",https://arxiv.org/pdf/2408.06947
oai:arXiv.org:2408.07076v1,Single-point-diamond-turned GaAs disk resonator with over a million optical quality factor,https://arxiv.org/abs/2408.07076,"arXiv:2408.07076v1 Announce Type: new 
Abstract: Gallium arsenide optical resonators have been identified as platforms for light-matter interactions ranging from optomechanics to quantum electrodynamics involving nonlinear optics. Here, we present a 5-mm-diameter whispering gallery mode resonator made of undoped gallium arsenide. The fabrication was done using single-point diamond turning followed by polishing with diamond solutions of varying grain size. The resulting resonator was optically characterized to have a quality factor of more than a million.",physics.optics,"Gallium arsenide optical resonators have been identified as platforms for light-matter interactions ranging from optomechanics to quantum electrodynamics involving nonlinear optics. Here, we present a 5-mm-diameter whispering gallery mode resonator made of undoped gallium arsenide. The fabrication was done using single-point diamond turning followed by polishing with diamond solutions of varying grain size. The resulting resonator was optically characterized to have a quality factor of more than a million.",https://arxiv.org/pdf/2408.07076
oai:arXiv.org:2408.07108v1,Shannon Entropy Helps Optimize the Performance of a Frequency-Multiplexed Extreme Learning Machine,https://arxiv.org/abs/2408.07108,"arXiv:2408.07108v1 Announce Type: new 
Abstract: Knowing the dynamics of neuromorphic photonic schemes would allow their optimization for controlled data-processing capability at possibly minimized energy consumption levels. In nonlinear substrates such as optical fibers or semiconductors, these dynamics can widely vary depending on each optical input encoded with information to process and are in general difficult to estimate. Thus, other approaches are required to optimize the schemes. Using a frequency-multiplexed fiber-based Extreme Learning Machine as an example for a classification task, I use Shannon entropy for optical power and introduce Shannon entropy for optical phase and spectrum, all averaged only over a small subset of the dataset to process. I show that the maximum and upper moderate optical power and phase entropies relate to the best data-processing capability of the Machine and, thus, can be used to find optimal system parameters such as fiber length, input power, and group-velocity dispersion in a more time-efficient manner than running numerical simulations emulating the scheme. Shannon entropy of the spectrum provides the information for what parameter space broadest possible frequency combs can be expected and is interesting from the perspective of frequency comb and supercontinuum generation. The introduced entropies are general and can be easily applied to describe and optimize other neuromorphic-photonic or nonlinear-optics schemes.",physics.optics,"Knowing the dynamics of neuromorphic photonic schemes would allow their optimization for controlled data-processing capability at possibly minimized energy consumption levels. In nonlinear substrates such as optical fibers or semiconductors, these dynamics can widely vary depending on each optical input encoded with information to process and are in general difficult to estimate. Thus, other approaches are required to optimize the schemes. Using a frequency-multiplexed fiber-based Extreme Learning Machine as an example for a classification task, I use Shannon entropy for optical power and introduce Shannon entropy for optical phase and spectrum, all averaged only over a small subset of the dataset to process. I show that the maximum and upper moderate optical power and phase entropies relate to the best data-processing capability of the Machine and, thus, can be used to find optimal system parameters such as fiber length, input power, and group-velocity dispersion in a more time-efficient manner than running numerical simulations emulating the scheme. Shannon entropy of the spectrum provides the information for what parameter space broadest possible frequency combs can be expected and is interesting from the perspective of frequency comb and supercontinuum generation. The introduced entropies are general and can be easily applied to describe and optimize other neuromorphic-photonic or nonlinear-optics schemes.",https://arxiv.org/pdf/2408.07108
oai:arXiv.org:2408.07140v1,Nanostructuring of AlCu alloy NPs obtained by FLASiS{\dag},https://arxiv.org/abs/2408.07140,"arXiv:2408.07140v1 Announce Type: new 
Abstract: In the nanometric scale, alloy nanomaterials behave as new materials since they are able to display structures and properties which are different from those of the pure metal nanostructures or bulk alloys. In this work, the compositional characteristics of AlCu alloy nanoparticles obtained by {\dag}Femtosecond Laser Ablation Synthesis in Solution (FLASiS) on solid targets with different percentages of Al and Cu were studied. Morphology, structure, composition and plasmonic behaviour of the nanoparticles were analysed by Scanning Electron Microscopy (SEM), Transmission Electron Microscopy (TEM), Energy-Dispersive X-ray Spectroscopy (EDS) and Optical Extinction Spectroscopy (OES). From the obtained results, underlying formation mechanism and a configuration model of a host alumina matrix with copper inclusions is proposed. Analysis of the plasmonic resonance spectral region in the extinction spectra of the synthesized colloids using this model show that the nanoparticles have a Cu filling factors of about 0.02 which agrees with those determined independently from TEM images. The amount of Al and Cu components in the nanoparticle depends on their relative percentages in the initial solid target. Here we describe the possible kinetic formation mechanism of these nanostructures.",physics.optics,"In the nanometric scale, alloy nanomaterials behave as new materials since they are able to display structures and properties which are different from those of the pure metal nanostructures or bulk alloys. In this work, the compositional characteristics of AlCu alloy nanoparticles obtained by {\dag}Femtosecond Laser Ablation Synthesis in Solution (FLASiS) on solid targets with different percentages of Al and Cu were studied. Morphology, structure, composition and plasmonic behaviour of the nanoparticles were analysed by Scanning Electron Microscopy (SEM), Transmission Electron Microscopy (TEM), Energy-Dispersive X-ray Spectroscopy (EDS) and Optical Extinction Spectroscopy (OES). From the obtained results, underlying formation mechanism and a configuration model of a host alumina matrix with copper inclusions is proposed. Analysis of the plasmonic resonance spectral region in the extinction spectra of the synthesized colloids using this model show that the nanoparticles have a Cu filling factors of about 0.02 which agrees with those determined independently from TEM images. The amount of Al and Cu components in the nanoparticle depends on their relative percentages in the initial solid target. Here we describe the possible kinetic formation mechanism of these nanostructures.",https://arxiv.org/pdf/2408.07140
oai:arXiv.org:2408.07267v1,Realization of time-reversal invariant photonic topological Anderson insulators,https://arxiv.org/abs/2408.07267,"arXiv:2408.07267v1 Announce Type: new 
Abstract: Disorder, which is ubiquitous in nature, has been extensively explored in photonics for understanding the fundamental principles of light diffusion and localization, as well as for applications in functional resonators and random lasers. Recently, the investigation of disorder in topological photonics has led to the realization of topological Anderson insulators characterized by an unexpected disorder-induced phase transition. However, the observed photonic topological Anderson insulators so far are limited to the time-reversal symmetry breaking systems. Here, we propose and realize a photonic quantum spin Hall topological Anderson insulator without breaking time-reversal symmetry. The disorder-induced topological phase transition is comprehensively confirmed through the theoretical effective Dirac Hamiltonian, numerical analysis of bulk transmission, and experimental examination of bulk and edge transmissions. We present the convincing evidence for the unidirectional propagation and robust transport of helical edge modes, which are the key features of nontrivial time-reversal invariant topological Anderson insulators. Furthermore, we demonstrate disorder-induced beam steering, highlighting the potential of disorder as a new degree of freedom to manipulate light propagation in magnetic-free systems. Our work not only paves the way for observing unique topological photonic phases but also suggests potential device applications through the utilization of disorder.",physics.optics,"Disorder, which is ubiquitous in nature, has been extensively explored in photonics for understanding the fundamental principles of light diffusion and localization, as well as for applications in functional resonators and random lasers. Recently, the investigation of disorder in topological photonics has led to the realization of topological Anderson insulators characterized by an unexpected disorder-induced phase transition. However, the observed photonic topological Anderson insulators so far are limited to the time-reversal symmetry breaking systems. Here, we propose and realize a photonic quantum spin Hall topological Anderson insulator without breaking time-reversal symmetry. The disorder-induced topological phase transition is comprehensively confirmed through the theoretical effective Dirac Hamiltonian, numerical analysis of bulk transmission, and experimental examination of bulk and edge transmissions. We present the convincing evidence for the unidirectional propagation and robust transport of helical edge modes, which are the key features of nontrivial time-reversal invariant topological Anderson insulators. Furthermore, we demonstrate disorder-induced beam steering, highlighting the potential of disorder as a new degree of freedom to manipulate light propagation in magnetic-free systems. Our work not only paves the way for observing unique topological photonic phases but also suggests potential device applications through the utilization of disorder.",https://arxiv.org/pdf/2408.07267
oai:arXiv.org:2408.07301v1,Imaginary Poynting momentum driven particle rotation by cylindrically polarized Gaussian beams,https://arxiv.org/abs/2408.07301,"arXiv:2408.07301v1 Announce Type: new 
Abstract: Imaginary Poynting momentum (IPM) provides a new degree of freedom for particle manipulation. However, the application of IPM in experiments has been largely unexplored. Here, we demonstrate the IPM driven particle rotation by cylindrically polarized Gaussian beams with no spin or orbital angular momentum. Theoretical analysis and experimental measurements demonstrate that gold microparticles will be rotated in the azimuthal direction while confined in the radial direction. We achieved controllable rotation of the particle by tuning the cylindrical polarization state. Interestingly, the transfer of IPM to a gold particle is demonstrated to be competitive with that of spin angular momentum. These findings hold promising in light-matter interactions and particle manipulations.",physics.optics,"Imaginary Poynting momentum (IPM) provides a new degree of freedom for particle manipulation. However, the application of IPM in experiments has been largely unexplored. Here, we demonstrate the IPM driven particle rotation by cylindrically polarized Gaussian beams with no spin or orbital angular momentum. Theoretical analysis and experimental measurements demonstrate that gold microparticles will be rotated in the azimuthal direction while confined in the radial direction. We achieved controllable rotation of the particle by tuning the cylindrical polarization state. Interestingly, the transfer of IPM to a gold particle is demonstrated to be competitive with that of spin angular momentum. These findings hold promising in light-matter interactions and particle manipulations.",https://arxiv.org/pdf/2408.07301
